2025-03-28 18:18:24,252 - EPOCH ::: 1
2025-03-28 18:18:25,993 - Loss_pi: 6.267817497253418, Loss_v: 0.11981771886348724
2025-03-28 18:18:30,737 - Loss_pi: 6.158348560333252, Loss_v: 0.11714641004800797
2025-03-28 18:18:35,333 - Loss_pi: 6.1673479080200195, Loss_v: 0.1353901425997416
2025-03-28 18:18:39,908 - Loss_pi: 6.165934324264526, Loss_v: 0.14422378689050674
2025-03-28 18:18:44,440 - Loss_pi: 6.136340236663818, Loss_v: 0.13732771575450897
2025-03-28 18:18:48,887 - Loss_pi: 6.107961257298787, Loss_v: 0.14135430753231049
2025-03-28 18:18:53,397 - Loss_pi: 6.058029515402658, Loss_v: 0.1296935656241008
2025-03-28 18:18:57,959 - Loss_pi: 5.985368728637695, Loss_v: 0.14075048081576824
2025-03-28 18:19:02,470 - Loss_pi: 5.94065703286065, Loss_v: 0.1404925270213021
2025-03-28 18:19:06,963 - Loss_pi: 5.896346998214722, Loss_v: 0.1389537200331688
2025-03-28 18:19:11,410 - Loss_pi: 5.794595328244296, Loss_v: 0.1330691623416814
2025-03-28 18:19:15,900 - Loss_pi: 5.726056297620137, Loss_v: 0.1311808048437039
2025-03-28 18:19:20,345 - Loss_pi: 5.638618505918062, Loss_v: 0.13072818116499826
2025-03-28 18:19:24,854 - Loss_pi: 5.560515574046543, Loss_v: 0.1326263935438224
2025-03-28 18:19:29,371 - Loss_pi: 5.484907595316569, Loss_v: 0.12897583991289138
2025-03-28 18:19:33,922 - Loss_pi: 5.405673533678055, Loss_v: 0.12580732675269246
2025-03-28 18:19:38,482 - Loss_pi: 5.317315606509938, Loss_v: 0.12497152782538358
2025-03-28 18:19:43,072 - Loss_pi: 5.248729440901014, Loss_v: 0.12307522942622502
2025-03-28 18:19:47,616 - Loss_pi: 5.177113169117978, Loss_v: 0.12049783923124012
2025-03-28 18:19:52,226 - Loss_pi: 5.110226058959961, Loss_v: 0.11974768117070198
2025-03-28 18:19:56,738 - Loss_pi: 5.040599527813139, Loss_v: 0.11961153007688977
2025-03-28 18:20:01,348 - Loss_pi: 4.9941091320731426, Loss_v: 0.12017475949092345
2025-03-28 18:20:05,904 - Loss_pi: 4.952107470968495, Loss_v: 0.11976894023625748
2025-03-28 18:20:10,342 - Loss_pi: 4.904239575068156, Loss_v: 0.12258412192265193
2025-03-28 18:20:14,829 - Loss_pi: 4.848899040222168, Loss_v: 0.12029698193073272
2025-03-28 18:20:19,317 - Loss_pi: 4.814870339173537, Loss_v: 0.12234582866613682
2025-03-28 18:20:23,747 - Loss_pi: 4.773000310968469, Loss_v: 0.12222177369727029
2025-03-28 18:20:28,188 - Loss_pi: 4.735246675355094, Loss_v: 0.12233356519469193
2025-03-28 18:20:32,652 - Loss_pi: 4.71094142979589, Loss_v: 0.12132988253544116
2025-03-28 18:20:37,261 - Loss_pi: 4.688546053568522, Loss_v: 0.12383177528778712
2025-03-28 18:20:41,753 - Loss_pi: 4.660313067897674, Loss_v: 0.12249175699487809
2025-03-28 18:20:46,281 - Loss_pi: 4.634260043501854, Loss_v: 0.12159341387450695
